Date;India;US;Italy;Spain;Germany
2020-01-22;0;1;0;0;0
2020-01-23;0;1;0;0;0
2020-01-24;0;2;0;0;0
2020-01-25;0;2;0;0;0
2020-01-26;0;5;0;0;0
2020-01-27;0;5;0;0;1
2020-01-28;0;5;0;0;4
2020-01-29;0;5;0;0;4
2020-01-30;1;5;0;0;4
2020-01-31;1;7;2;0;5
2020-02-01;1;8;2;1;8
2020-02-02;2;8;2;1;10
2020-02-03;3;11;2;1;12
2020-02-04;3;11;2;1;12
2020-02-05;3;11;2;1;12
2020-02-06;3;11;2;1;12
2020-02-07;3;11;3;1;13
2020-02-08;3;11;3;1;13
2020-02-09;3;11;3;2;14
2020-02-10;3;11;3;2;14
2020-02-11;3;12;3;2;16
2020-02-12;3;12;3;2;16
2020-02-13;3;13;3;2;16
2020-02-14;3;13;3;2;16
2020-02-15;3;13;3;2;16
2020-02-16;3;13;3;2;16
2020-02-17;3;13;3;2;16
2020-02-18;3;13;3;2;16
2020-02-19;3;13;3;2;16
2020-02-20;3;13;3;2;16
2020-02-21;3;15;20;2;16
2020-02-22;3;15;62;2;16
2020-02-23;3;15;155;2;16
2020-02-24;3;15;229;2;16
2020-02-25;3;15;322;6;17
2020-02-26;3;15;453;13;27
2020-02-27;3;16;655;15;46
2020-02-28;3;16;888;32;48
2020-02-29;3;24;1128;45;79
2020-03-01;3;30;1694;84;130
2020-03-02;5;53;2036;120;159
2020-03-03;5;73;2502;165;196
2020-03-04;28;104;3089;222;262
2020-03-05;30;174;3858;259;482
2020-03-06;31;222;4636;400;670
2020-03-07;34;337;5883;500;799
2020-03-08;39;451;7375;673;1040
2020-03-09;43;519;9172;1073;1176
2020-03-10;56;711;10149;1695;1457
2020-03-11;62;1109;12462;2277;1908
2020-03-12;73;1561;15113;2277;2078
2020-03-13;82;2157;17660;5232;3675
2020-03-14;102;2870;21157;6391;4585
2020-03-15;113;2968;24747;7798;5795
2020-03-16;119;4360;27980;9942;7272
2020-03-17;142;6141;31506;11748;9257
2020-03-18;156;8917;35713;13910;12327
2020-03-19;194;14157;41035;17963;15320
2020-03-20;244;19479;47021;20410;19848
2020-03-21;330;25825;53578;25374;22213
2020-03-22;396;33761;59138;28768;24873
2020-03-23;499;43850;63927;35136;29056
2020-03-24;536;54112;69176;39885;32986
2020-03-25;657;66055;74386;49515;37323
2020-03-26;727;84091;80589;57786;43938
2020-03-27;887;102276;86498;65719;50871
2020-03-28;987;122069;92472;73235;57695
2020-03-29;1024;141205;97689;80110;62095
2020-03-30;1251;162707;101739;87956;66885
2020-03-31;1397;188724;105792;95923;71808
2020-04-01;1998;214205;110574;104118;77872
2020-04-02;2543;244610;115242;112065;84794
2020-04-03;2567;276547;119827;119199;91159
2020-04-04;3082;309699;124632;126168;96092
2020-04-05;3588;337573;128948;131646;100123
2020-04-06;4778;367215;132547;136675;103374
2020-04-07;5311;397992;135586;141942;107663
2020-04-08;5916;429686;139422;148220;113296
2020-04-09;6725;464442;143626;153222;118181
2020-04-10;7598;497943;147577;158273;122171
2020-04-11;8446;527969;152271;163027;124908
2020-04-12;9205;556522;156363;166831;127854
2020-04-13;10453;581813;159516;170099;130072
2020-04-14;11487;608878;162488;172541;131359
2020-04-15;12322;637974;165155;177644;134753
2020-04-16;13430;669272;168941;184948;137698
2020-04-17;14352;701996;172434;190839;141397
2020-04-18;15722;730337;175925;191726;143342
2020-04-19;17615;756375;178972;198674;145184
2020-04-20;18539;783716;181228;200210;147065
2020-04-21;20080;809318;183957;204178;148291
2020-04-22;21370;837422;187327;208389;150648
2020-04-23;23077;871617;189973;213024;153129
2020-04-24;24530;907908;192994;202990;154999
2020-04-25;26283;940829;195351;205905;156513
2020-04-26;27890;968518;197675;207634;157770
2020-04-27;29451;990983;199414;209465;158758
2020-04-28;31324;1015518;201505;210773;159912
2020-04-29;33062;1043038;203591;212917;161539
2020-04-30;34863;1072667;205463;213435;163009
2020-05-01;37257;1106829;207428;215216;164077
2020-05-02;39699;1136024;209328;216582;164967
2020-05-03;42505;1161611;210717;217466;165664
2020-05-04;46437;1184086;211938;218011;166152
2020-05-05;49400;1208271;213013;219329;167007
2020-05-06;52987;1233527;214457;220325;168162
2020-05-07;56351;1261409;215858;221447;169430
2020-05-08;59695;1288587;217185;222857;170588
2020-05-09;62808;1314320;218268;223578;171324
2020-05-10;67161;1334084;219070;224350;171879
2020-05-11;70768;1352962;219814;227436;172576
2020-05-12;74292;1375152;221216;228030;173171
2020-05-13;78055;1396110;222104;228691;174098
2020-05-14;81997;1423727;223096;229540;174478
2020-05-15;85784;1449027;223885;230183;175233
2020-05-16;90648;1474128;224760;230698;175752
2020-05-17;95698;1493132;225435;230698;176369
2020-05-18;100328;1514901;225886;231606;176551
2020-05-19;106475;1535350;226699;232037;177778
2020-05-20;112028;1559157;227364;232555;178473
2020-05-21;118226;1584512;228006;233037;179021
2020-05-22;124794;1608653;228658;234824;179710
2020-05-23;131423;1630476;229327;235290;179986
2020-05-24;138536;1651289;229858;235772;180328
2020-05-25;144950;1670280;230158;235400;180600
2020-05-26;150793;1689163;230555;236259;181200
2020-05-27;158086;1707445;231139;236259;181524
2020-05-28;165386;1730260;231732;237906;182196
2020-05-29;173491;1754764;232248;238564;182922
2020-05-30;181827;1779214;232664;239228;183189
2020-05-31;190609;1799124;232997;239479;183410
2020-06-01;198370;1816479;233197;239638;183594
2020-06-02;207191;1837374;233515;239932;183879
2020-06-03;216824;1857332;233836;240326;184121
2020-06-04;226713;1878683;234013;240660;184472
2020-06-05;236184;1903907;234531;240978;184924
2020-06-06;246622;1926639;234801;241310;185450
2020-06-07;257486;1944370;234998;241550;185750
2020-06-08;265928;1961785;235278;241717;186109
2020-06-09;276146;1979912;235561;241966;186506
2020-06-10;286605;2000706;235763;242280;186522
2020-06-11;297535;2023656;236142;242707;186691
2020-06-12;308993;2048986;236305;243209;187226
2020-06-13;320922;2074542;236651;243605;187267
2020-06-14;332424;2094366;236989;243928;187518
2020-06-15;343091;2114026;237290;244109;187682
2020-06-16;354065;2137731;237500;244328;188252
2020-06-17;366946;2163290;237828;244683;188604
2020-06-18;380532;2191099;238159;245268;189817
2020-06-19;395048;2222579;238011;245575;190299
2020-06-20;410451;2255328;238275;245938;190670
2020-06-21;425282;2281767;238499;246272;191272
2020-06-22;440215;2312303;238720;246504;191768
2020-06-23;456183;2347491;238833;246752;192480
2020-06-24;473105;2382426;239410;247086;192871
2020-06-25;490401;2422299;239706;247486;193371
2020-06-26;508953;2467554;239961;247905;194036
2020-06-27;528859;2510259;240136;248469;194458
2020-06-28;548318;2549864;240310;248770;194693
2020-06-29;566840;2590668;240436;248970;195042
2020-06-30;585481;2636414;240578;249271;195418
2020-07-01;604641;2687588;240760;249659;195893
2020-07-02;625544;2742049;240961;250103;196370
2020-07-03;648315;2795361;241184;250545;196780
2020-07-04;673165;2841241;241419;250545;197198
2020-07-05;697413;2891124;241611;250545;197523
2020-07-06;719664;2936077;241819;251789;198064
2020-07-07;742417;2996098;241956;252130;198343
2020-07-08;767296;3054699;242149;252513;198699
2020-07-09;793802;3117946;242363;253056;199001
2020-07-10;820916;3185737;242639;253908;199332
2020-07-11;849522;3245925;242827;253908;199709
2020-07-12;878254;3304942;243061;253908;199919
2020-07-13;906752;3364157;243230;255953;200180
2020-07-14;936181;3431574;243344;256619;200456
2020-07-15;968857;3498902;243506;257494;200890
2020-07-16;1003832;3576157;243736;258855;201450
2020-07-17;1039084;3647715;243967;260255;202045
2020-07-18;1077781;3711413;244216;260255;202426
2020-07-19;1118206;3773260;244434;260255;202735
2020-07-20;1155338;3834677;244624;264836;203325
2020-07-21;1193078;3899211;244752;266194;203717
2020-07-22;1238798;3970121;245032;267551;204276
2020-07-23;1288108;4038816;245338;270166;204881
2020-07-24;1337024;4112531;245590;272421;205623
2020-07-25;1385635;4178970;245864;272421;206278
2020-07-26;1435616;4233923;246118;272421;206667
2020-07-27;1480073;4290337;246286;278782;207112
2020-07-28;1531669;4356206;246488;280610;207707
2020-07-29;1581963;4426982;246776;282641;208546
2020-07-30;1634746;4495015;247158;285430;209535
2020-07-31;1695988;4562107;247537;288522;210399
2020-08-01;1750723;4620592;247832;288522;211005
2020-08-02;1803695;4668172;248070;288522;211220
2020-08-03;1855745;4713540;248229;297054;212111
2020-08-04;1908254;4771080;248419;302814;212828
